2026-07-29 21:42:38,735 | INFO | ticker=FPT | source=cafef | accepted | score=7.0 | url=https://cafef.vn/chung-khoan-tuan-qua-vn-index-co-4-5-phien-tang-diem-co-phieu-fpt-msn-tiep-tuc-bay-cao-188241012212137701.chn
2026-07-29 21:42:42,574 | INFO | ticker=FPT | source=cafef | rejected | score=-13.0 | url=https://cafef.vn/co-phieu-fpt-retail-frt-lap-dinh-gia-moi-188240821161904432.chn
2026-07-29 21:42:45,491 | INFO | ticker=FPT | source=cafef | rejected | score=-12.0 | url=https://cafef.vn/long-chau-lai-to-co-phieu-fpt-retail-lap-dinh-lich-su-moi-von-hoa-cham-nguong-1-ty-usd-188240821122928914.chn
2026-07-29 21:42:48,226 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/co-phieu-fpt-miet-mai-vuot-dinh-tai-san-cua-ong-truong-gia-binh-va-hai-cong-than-tang-gan-8000-ty-tu-dau-nam-188240708163036155.chn
2026-07-29 21:42:58,733 | INFO | ticker=FPT | source=cafef | accepted | score=7.0 | url=https://cafef.vn/chung-khoan-tang-diem-nhung-thanh-khoan-mat-hut-dong-tien-do-bo-vao-co-phieu-fpt-18824070415542333.chn
2026-07-29 21:43:05,720 | INFO | ticker=FPT | source=cafef | rejected | score=4.0 | url=https://cafef.vn/phien-3-7-tu-doanh-ctck-tiep-da-ban-rong-hang-tram-ty-dong-tam-diem-tai-co-phieu-fpt-188240703192651622.chn
2026-07-29 21:43:10,477 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/co-phieu-fpt-retail-vuot-dinh-ong-chu-2-chuoi-fpt-shop-va-long-chau-cham-nguong-ty-usd-von-hoa-188240621113112786.chn
2026-07-29 21:43:12,847 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/truoc-khi-dua-co-dong-len-dinh-27-lan-trong-6-thang-qua-co-phieu-fpt-tung-trai-qua-ngay-13-den-toi-thuoc-do-giau-ngheo-trong-noi-bo-nhan-vien-tro-thanh-ban-kip-va-khong-ban-kip-18824061108054006.chn
2026-07-29 21:43:16,650 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/co-phieu-fpt-lai-vuot-dinh-nhu-mot-thoi-quen-gia-tri-tap-doan-cong-nghe-so-1-viet-nam-vuot-vietinbank-techcombank-vpbank-188240604154013915.chn
2026-07-29 21:43:18,871 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/co-phieu-fpt-lap-dinh-moi-gia-tri-tap-doan-cao-ky-luc-tai-san-cua-dan-lanh-dao-khai-quoc-cong-than-tang-them-hang-nghin-ty-188240425151959431.chn
2026-07-29 21:43:21,204 | INFO | ticker=FPT | source=cafef | accepted | score=14.0 | url=https://cafef.vn/co-phieu-fpt-giao-dich-bung-no-vuot-dinh-lich-su-sau-tin-bat-tay-nvidia-mo-nha-may-ai-188240424103404216.chn
2026-07-29 21:43:26,122 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/ong-truong-gia-binh-co-phieu-fpt-lien-tuc-tang-truong-tu-sau-100-ngay-giai-cuu-nghen-lenh-tren-hose-188240228133708935.chn
2026-07-29 21:43:30,322 | INFO | ticker=FPT | source=cafef | accepted | score=12.0 | url=https://cafef.vn/coteccons-ghi-nhan-hon-600-ty-dong-no-xau-tu-tan-hoang-minh-va-saigon-glory-188240201160416752.chn
2026-07-29 21:43:40,626 | INFO | ticker=FPT | source=cafef | rejected | score=-12.0 | url=https://cafef.vn/bao-lo-trong-quy-4-co-phieu-fpt-retail-frt-van-vuot-dinh-lich-su-dieu-gi-dang-dien-ra-188240129164648266.chn
2026-07-29 21:43:44,788 | INFO | ticker=FPT | source=cafef | rejected | score=-13.0 | url=https://cafef.vn/nhom-dragon-capital-tiep-tuc-gom-co-phieu-fpt-retail-frt-nang-ty-le-so-huu-vuot-11-188231222104357355.chn
2026-07-29 21:43:47,835 | INFO | ticker=FPT | source=cafef | rejected | score=-12.0 | url=https://cafef.vn/co-phieu-fpt-retail-frt-vuot-dinh-lich-su-thi-gia-cham-moc-ba-chu-so-188231109095938059.chn
2026-07-29 21:43:50,441 | INFO | ticker=FPT | source=cafef | rejected | score=-19.0 | url=https://cafef.vn/nhom-dragon-capital-mua-them-490000-co-phieu-fpt-retail-frt-nang-so-huu-len-901-188230929182200591.chn
2026-07-29 21:43:53,399 | INFO | ticker=FPT | source=cafef | accepted | score=7.0 | url=https://cafef.vn/loat-co-phieu-fpt-ree-dp3-slstang-hang-chuc-lan-sau-10-nam-dau-la-cong-thuc-thanh-cong-chung-188230904233310749.chn
2026-07-29 21:43:55,434 | INFO | ticker=FPT | source=cafef | rejected | score=4.0 | url=https://cafef.vn/phien-16-8-tu-doanh-ctck-mua-rong-hon-tram-ty-dong-co-phieu-fpt-18823081617171287.chn
2026-07-29 21:44:00,232 | INFO | ticker=FPT | source=cafef | accepted | score=14.0 | url=https://cafef.vn/hon-182-trieu-co-phieu-fpt-giao-dich-tu-ngay-19-7-20220710122207666.chn
2026-07-29 21:44:04,051 | INFO | ticker=FPT | source=cafef | rejected | score=-13.0 | url=https://cafef.vn/ky-vong-chuoi-long-chau-co-phieu-fpt-retail-frt-tang-kich-tran-tiep-tuc-lap-dinh-lich-su-20220316150519307.chn
2026-07-29 21:44:06,441 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/lien-tuc-luot-song-dragon-capital-da-ban-gan-14-trieu-co-phieu-fpt-va-khong-con-la-co-dong-lon-2021122911202359.chn
2026-07-29 21:44:08,540 | INFO | ticker=FPT | source=cafef | rejected | score=-12.0 | url=https://cafef.vn/dang-sau-da-tang-phi-ma-cua-co-phieu-fpt-retail-nha-thuoc-long-chau-tu-lo-tram-ty-da-dot-ngot-co-lai-20210826180041634.chn
2026-07-29 21:44:13,297 | INFO | ticker=FPT | source=cafef | accepted | score=14.0 | url=https://cafef.vn/co-phieu-fpt-co-the-lap-dinh-moi-20210724131458899.chn
2026-07-29 21:44:17,013 | INFO | ticker=FPT | source=cafef | accepted | score=9.0 | url=https://cafef.vn/dieu-gi-khien-co-phieu-fpt-lien-tuc-pha-dinh-20210304172031885.chn
2026-07-29 21:44:21,432 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/co-phieu-fpt-shop-chay-hang-giao-dich-cao-ky-luc-sau-ngay-mo-ban-iphone-12-20201130162345566.chn
2026-07-29 21:44:25,867 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/quy-ngoai-vua-nhan-trao-tay-gan-12-trieu-co-phieu-fpt-20201013080832693.chn
2026-07-29 21:44:30,625 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/quy-ngoai-vua-trao-tay-23-trieu-co-phieu-fpt-20200710093153096.chn
2026-07-29 21:44:33,320 | INFO | ticker=FPT | source=cafef | rejected | score=-13.0 | url=https://cafef.vn/nhom-quy-dragon-capital-giam-ty-trong-nam-giu-co-phieu-fpt-retail-frt-20200519140939728.chn
